Wall time,Step,Value
1748300972.639623,240640,-1.3802604675292969
1748300973.245832,241664,-1.3807300329208374
1748300973.858473,242688,-1.3807804584503174
1748300974.468547,243712,-1.3806607723236084
1748300975.072551,244736,-1.3807703256607056
1748300975.678357,245760,-1.3810194730758667
1748300976.293817,246784,-1.381091594696045
1748300976.928666,247808,-1.3809547424316406
1748300977.5442612,248832,-1.3819767236709595
1748300978.168534,249856,-1.3819468021392822
1748300978.778163,250880,-1.3816407918930054
1748300979.378927,251904,-1.382836937904358
1748300979.9789171,252928,-1.3831634521484375
1748300980.5782552,253952,-1.3819760084152222
1748300981.17601,254976,-1.3805317878723145
1748300981.775868,256000,-1.3807419538497925
1748300982.3808808,257024,-1.3816804885864258
1748300982.982396,258048,-1.383225917816162
1748300983.581089,259072,-1.3838897943496704
1748300984.187191,260096,-1.3849232196807861
1748300984.784394,261120,-1.3855595588684082
1748300985.3797052,262144,-1.3834279775619507
1748300985.978251,263168,-1.3806729316711426
1748300986.580792,264192,-1.3813714981079102
1748300987.187317,265216,-1.3792564868927002
1748300987.7821162,266240,-1.3805551528930664
1748300988.384233,267264,-1.380752444267273
1748300988.9913511,268288,-1.38067626953125
1748300989.594831,269312,-1.3808377981185913
1748300990.197618,270336,-1.3810648918151855
1748300990.798069,271360,-1.3803164958953857
1748300991.3929942,272384,-1.3788703680038452
1748300991.991002,273408,-1.3790656328201294
1748300992.5913658,274432,-1.3785909414291382
1748300993.200491,275456,-1.3779832124710083
1748300993.797984,276480,-1.3787789344787598
1748300994.401939,277504,-1.380037784576416
1748300995.006114,278528,-1.380310297012329
1748300995.6046221,279552,-1.3808152675628662
1748300996.214846,280576,-1.3812018632888794
1748300996.831867,281600,-1.38124680519104
1748300997.433255,282624,-1.381398320198059
1748300998.0307121,283648,-1.3814042806625366
1748300998.641432,284672,-1.381142258644104
1748300999.2468219,285696,-1.3810981512069702
1748300999.8725948,286720,-1.3820291757583618
1748301000.4805171,287744,-1.382584810256958
1748301001.082145,288768,-1.3825603723526
1748301001.6875699,289792,-1.3828850984573364
1748301002.293191,290816,-1.3829491138458252
1748301002.897554,291840,-1.3822379112243652
1748301003.498812,292864,-1.3827152252197266
1748301004.0986261,293888,-1.383160948753357
1748301004.699202,294912,-1.3854787349700928
1748301005.301379,295936,-1.3892695903778076
1748301005.900337,296960,-1.3903414011001587
1748301006.50546,297984,-1.3913190364837646
1748301007.11071,299008,-1.3907743692398071
1748301007.7201521,300032,-1.3886274099349976
1748301008.325996,301056,-1.3843399286270142
1748301008.927624,302080,-1.3864586353302002
1748301009.528193,303104,-1.3909536600112915
1748301010.1986098,304128,-1.391097903251648
1748301010.8030221,305152,-1.3909002542495728
1748301011.3999748,306176,-1.3994661569595337
1748301012.001525,307200,-1.4053300619125366
1748301012.600596,308224,-1.4008680582046509
1748301013.212555,309248,-1.4022481441497803
1748301013.81724,310272,-1.4002184867858887
1748301014.411157,311296,-1.3941223621368408
1748301015.012297,312320,-1.3950068950653076
1748301015.6104372,313344,-1.3946058750152588
1748301016.211937,314368,-1.3879168033599854
1748301016.81506,315392,-1.3863998651504517
1748301017.4135811,316416,-1.3853174448013306
1748301018.011551,317440,-1.3767166137695312
